棵树数量,训练集AUC,测试集AUC
3,0.87637347,0.77772837
6,0.89323953,0.78557548
9,0.90472983,0.79250580
12,0.91364298,0.79452130
15,0.91971677,0.79519026
18,0.92462518,0.79821036
21,0.92957985,0.79861111
24,0.93322445,0.79961572
27,0.93609942,0.80208686
30,0.93901805,0.80157789
33,0.94191586,0.80046505
36,0.94515902,0.80115597
39,0.94797472,0.80148613
42,0.94934411,0.80279738
45,0.95110276,0.80259897
48,0.95268574,0.80340988
51,0.95404840,0.80365691
54,0.95541834,0.80421529
57,0.95682500,0.80407256
60,0.95794309,0.80525519
63,0.95937210,0.80604257
66,0.96033008,0.80609433
69,0.96137479,0.80412118
72,0.96222561,0.80428979
75,0.96277793,0.80462702
78,0.96340386,0.80452506
81,0.96388918,0.80463486
84,0.96424466,0.80460819
87,0.96445446,0.80473681
90,0.96485001,0.80380356
93,0.96537384,0.80352908
96,0.96563492,0.80333616
99,0.96593888,0.80362633
102,0.96602482,0.80456428
105,0.96640102,0.80344909
108,0.96651427,0.80265387
111,0.96668882,0.80184453
114,0.96690962,0.80220685
117,0.96722679,0.80098814
120,0.96758118,0.80027448
123,0.96741597,0.79997961
126,0.96758933,0.80039683
129,0.96781977,0.80090344
132,0.96802093,0.80083286
135,0.96822455,0.80003608
138,0.96819607,0.79924713
141,0.96839222,0.79901970
144,0.96826797,0.79862287
147,0.96850665,0.79872953
150,0.96825176,0.79865268
153,0.96840224,0.79888011
156,0.96847561,0.79849426
159,0.96859368,0.79786687
162,0.96859957,0.79798293
165,0.96851588,0.79801430
168,0.96852600,0.79778844
171,0.96865384,0.79681285
174,0.96881620,0.79643485
177,0.96908720,0.79659169
180,0.96912197,0.79697597
183,0.96927864,0.79681128
186,0.96939995,0.79625290
189,0.96939445,0.79524751
192,0.96941056,0.79570080
195,0.96950122,0.79553924
198,0.96948187,0.79547337
201,0.96953569,0.79437229
204,0.96955446,0.79416839
207,0.96974265,0.79368373
210,0.96984883,0.79302497
213,0.96992113,0.79374961
216,0.96991199,0.79232386
219,0.96992525,0.79203996
222,0.97003860,0.79139375
225,0.97016492,0.79089027
228,0.97007691,0.79060167
231,0.97002799,0.79176391
234,0.97019625,0.79180469
237,0.96992574,0.79208702
240,0.96995649,0.79102673
243,0.97008545,0.79073656
246,0.97010589,0.79070205
249,0.97018014,0.79037110
252,0.97031343,0.79004643
255,0.97031235,0.79097967
258,0.97029536,0.79018916
261,0.97038789,0.79100320
264,0.97040537,0.79099379
267,0.97040596,0.79131062
270,0.97053454,0.79133101
273,0.97067441,0.79155374
276,0.97068118,0.79134827
279,0.97074749,0.79122436
282,0.97075181,0.79117730
285,0.97065083,0.79116946
288,0.97077499,0.79151766
291,0.97074798,0.79131690
294,0.97071124,0.79092321
297,0.97082813,0.79085263
300,0.97097124,0.78962137
