棵树数量,训练集AUC,测试集AUC
3,0.95538767,0.89789758
6,0.96379997,0.90707318
9,0.96887214,0.90646984
12,0.97272727,0.90930789
15,0.97497492,0.91309422
18,0.97667312,0.91024010
21,0.97828772,0.91229987
24,0.97944075,0.91354982
27,0.98009213,0.91424465
30,0.98085734,0.91527330
33,0.98149843,0.91601820
36,0.98186379,0.91438250
39,0.98267571,0.91451788
42,0.98315116,0.91302808
45,0.98340910,0.91122856
48,0.98377226,0.91116984
51,0.98403171,0.91123413
54,0.98422655,0.91070311
57,0.98435725,0.91083788
60,0.98464539,0.91129409
63,0.98495093,0.91117540
66,0.98478710,0.91065737
69,0.98520683,0.91161925
72,0.98522013,0.91142144
75,0.98520257,0.91065242
78,0.98523188,0.91056217
81,0.98537503,0.90974741
84,0.98550696,0.90960523
87,0.98547510,0.90910698
90,0.98568397,0.90894378
93,0.98583934,0.90888444
96,0.98586408,0.90791143
99,0.98592108,0.90808081
102,0.98600622,0.90806103
105,0.98584436,0.90838866
108,0.98594080,0.90924669
111,0.98606004,0.90916385
114,0.98605254,0.90800910
117,0.98612856,0.90759368
120,0.98616328,0.90683456
123,0.98615168,0.90535094
126,0.98605966,0.90485887
129,0.98615601,0.90447807
132,0.98621471,0.90450651
135,0.98643140,0.90430993
138,0.98640302,0.90397735
141,0.98627472,0.90376841
144,0.98626861,0.90380673
147,0.98624564,0.90349888
150,0.98612183,0.90389575
153,0.98612918,0.90379190
156,0.98623319,0.90408739
159,0.98619174,0.90379932
162,0.98634378,0.90359408
165,0.98641717,0.90403546
168,0.98640456,0.90387844
171,0.98654330,0.90410346
174,0.98655722,0.90407749
177,0.98661475,0.90421102
180,0.98647269,0.90369052
183,0.98651770,0.90328623
186,0.98659225,0.90341357
189,0.98662628,0.90292769
192,0.98653139,0.90281023
195,0.98654229,0.90221307
198,0.98652660,0.90298456
201,0.98656441,0.90234165
204,0.98663517,0.90247889
207,0.98672681,0.90263591
210,0.98665783,0.90261118
213,0.98670175,0.90277314
216,0.98665667,0.90314528
219,0.98666958,0.90358295
222,0.98674514,0.90367321
225,0.98678875,0.90289307
228,0.98690035,0.90217969
231,0.98695672,0.90232682
234,0.98703011,0.90238493
237,0.98707079,0.90279910
240,0.98707458,0.90201649
243,0.98711897,0.90278674
246,0.98714750,0.90279540
249,0.98711866,0.90385371
252,0.98712562,0.90400331
255,0.98709515,0.90420237
258,0.98716227,0.90422586
261,0.98716158,0.90410840
264,0.98724154,0.90458440
267,0.98735344,0.90470309
270,0.98729815,0.90489720
273,0.98722352,0.90536207
276,0.98724572,0.90525327
279,0.98725538,0.90503691
282,0.98729521,0.90471545
285,0.98723883,0.90494912
288,0.98728539,0.90474389
291,0.98732336,0.90514694
294,0.98734563,0.90537072
297,0.98741221,0.90520381
300,0.98733480,0.90497014
